date,value
2026-03-05,9921
2026-03-04,1876
2026-03-03,5959
2026-03-02,8707
2026-03-01,4088
2026-02-28,8977
2026-02-27,10740
2026-02-26,11139
2026-02-25,7298
2026-02-24,13520
2026-02-23,11201
2026-02-22,10648
2026-02-21,11279
2026-02-20,12363
2026-02-19,6056
2026-02-18,5123
2026-02-17,10552
2026-02-16,11863
2026-02-15,2881
2026-02-14,7311
2026-02-13,6522
2026-02-12,13686
2026-02-11,5448
2026-02-10,3417
2026-02-09,16790
2026-02-08,4539
2026-02-07,11680
2026-02-06,12428
2026-02-05,10039
2026-02-04,11199
2026-02-03,5452
2026-02-02,13858
2026-02-01,9163
2026-01-31,12438
2026-01-30,8085
2026-01-29,12477
2026-01-28,10347
2026-01-27,11000
2026-01-26,7485
2026-01-25,6692
2026-01-24,13668
2026-01-23,14289
2026-01-22,11401
2026-01-21,14044
2026-01-20,1026
2026-01-19,9087
2026-01-18,12931
2026-01-17,10845
2026-01-16,11464
2026-01-15,12740
2026-01-14,14925
2026-01-13,6310
2026-01-12,7267
2026-01-11,6844
2026-01-10,6888
2026-01-09,3040
2026-01-08,8153
2026-01-07,7351
2026-01-06,3281
2026-01-05,2779
2026-01-04,10974
2026-01-03,16501
2026-01-02,10480
2026-01-01,17201
2025-12-31,9778
2025-12-30,13150
2025-12-29,3920
2025-12-28,5930
2025-12-27,11859
2025-12-26,7668
2025-12-25,13327
2025-12-24,11411
2025-12-23,9644
2025-12-22,12947
2025-12-21,3245
2025-12-20,1651
2025-12-19,9408
2025-12-18,9849
2025-12-17,2472
2025-12-16,12407
2025-12-15,14644
2025-12-14,12678
2025-12-13,15341
2025-12-12,11386
2025-12-11,14235
2025-12-10,4548
2025-12-09,5563
2025-12-08,13742
2025-12-07,9948
2025-12-06,6162
2025-12-05,13978
2025-12-04,8904
2025-12-03,4564
2025-12-02,15164
2025-12-01,17132
2025-11-30,6032
2025-11-29,13376
2025-11-28,15475
2025-11-27,14019
2025-11-26,6344
2025-11-25,13257
2025-11-24,14841
2025-11-23,11821
2025-11-22,12078
2025-11-21,6122
2025-11-20,6781
2025-11-19,10205
2025-11-18,13382
2025-11-17,14130
2025-11-16,7834
2025-11-15,7572
2025-11-14,14569
2025-11-13,16506
2025-11-12,18835
2025-11-11,21922
2025-11-10,12922
2025-11-09,22515
2025-11-08,9244
2025-11-07,13551
2025-11-06,12616
2025-11-05,8245
2025-11-04,7833
2025-11-03,8482
2025-11-02,11503
2025-11-01,7358
2025-10-31,12198
2025-10-30,4974
2025-10-29,9108
2025-10-28,5651
2025-10-27,11679
2025-10-26,5758
2025-10-25,8181
2025-10-24,10460
2025-10-23,13246
2025-10-22,24963
2025-10-21,15029
2025-10-20,15860
2025-10-19,13456
2025-10-18,8943
2025-10-17,23533
2025-10-16,6757
2025-10-15,11671
2025-10-14,13683
2025-10-13,10514
2025-10-12,7996
2025-10-11,23352
2025-10-10,8271
2025-10-09,8419
2025-10-08,5189
2025-10-07,12660
2025-10-06,16249
2025-10-05,6753
2025-10-04,5459
2025-10-03,13119
2025-10-02,13806
2025-10-01,4044
2025-09-30,7816
2025-09-29,13668
2025-09-28,4774
2025-09-27,10849
2025-09-26,7653
2025-09-25,12846
2025-09-24,4488
2025-09-23,13008
2025-09-22,11859
2025-09-21,8066
2025-09-20,12267
2025-09-19,8863
2025-09-18,12919
2025-09-17,13348
2025-09-16,13526
2025-09-15,11634
2025-09-14,20265
2025-09-13,7167
2025-09-12,8236
2025-09-11,10126
2025-09-10,6325
2025-09-09,11571
2025-09-08,3415
2025-09-07,7671
2025-09-06,12576
2025-09-05,16355
2025-09-04,7087
2025-09-03,6771
2025-09-02,8332
2025-09-01,14237
2025-08-31,8703
2025-08-30,12906
2025-08-29,13050
2025-08-28,9743
2025-08-27,5299
2025-08-26,5329
2025-08-25,14014
2025-08-24,8220
2025-08-23,14109
2025-08-22,16214
2025-08-21,24366
2025-08-20,6886
2025-08-19,2267
2025-08-18,6763
2025-08-17,12441
2025-08-16,9508
2025-08-15,7293
2025-08-14,5428
2025-08-13,6613
2025-08-12,13514
2025-08-11,13427
2025-08-10,5667
2025-08-09,11208
2025-08-08,7122
2025-08-07,8237
2025-08-06,10980
2025-08-05,5981
2025-08-04,5942
2025-08-03,26383
2025-08-02,7285
2025-08-01,7353
2025-07-31,3394
