start,duration,value
2022-10-19T13:01:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[25,20,20,5,-5,-6,-7,7,31,52,33,18,46,33,20,22,37,37,17,22,33,24,40,26,42,31,37,28,32,32,45,43,22,39,32]"
2022-10-19T13:36:01+02:00,"[3239,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1860,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[32,23,20,8,10,34,20,8,-4,-8,1,32,12,-6,0,0,1,2,-4,-5,-7,11,15,-5,-8,-5,-6,-8,-8,-8,-7,9,13,31,15,18,3,13,34,39,35,56,31,1,-7,-8,-5,-5,-7,-7,-5,19,17,10,-2,-8,-8,-8,-8,-8,-1,12]"
2022-10-19T14:57:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,1860,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[-8,-8,-7,9,13,31,15,18,3,13,34,39,35,56,31,1,-7,-8,-5,-5,-7,-7,-5,19,17,10,-2,-8,-8,-8,-8,-8,-1,12,5,4,-1,1,17,16,1,-8,-6,11,13,-1,21,17,27,23,5,4,7,4,-4,-7,9,9,-5,10,6,-1,-1,18,33,10,15,43,34,6,1,8,15,35,49,38,26,36,39,19,8,16,14,18,34,19,0,0,-4,1,5,4,-1,9,8,8,8,5,2,-2,2,7,13,20,11,5,7,0,5,12,8,4,33,49,19,21,61,47,27,4,1,3,9,28,10,2,2,4,0,8,3,8,29,33,8,7,12,9,10,10,-1,11,28,20,0,-5,-5,-2,-4]"
2022-10-19T16:01:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,1320,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[5,4,-1,1,17,16,1,-8,-6,11,13,-1,21,17,27,23,5,4,7,4,-4,-7,9,9,-5,10,6,-1,-1,18,33,10,15,43,34,6,1,8,15,35,49,38,26,36,39,19,8,16,14,18,34,19,0,0,-4,1,5,4,-1,9,8,8,8,5,2,-2,2,7,13,20,11,5,7,0,5,12,8,4,33,49,19,21,61,47,27,4,1,3,9,28,10,2,2,4,0,8,3,8,29,33,8,7,12,9,10,10,-1,11,28,20,0,-5,-5,-2,-4,-4,10,21,16,2,-1,12,15,-2,-8,-8,-8,-7,-7,-8,-6,-5,-7,8,31,35,8,-5,12,15,2,8,11,2,-1,18,12,-1,11,1,-8,-5,16,10,-7,-1,12,27,30]"
2022-10-19T17:56:00+02:00,"[1320,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[-4,10,21,16,2,-1,12,15,-2,-8,-8,-8,-7,-7,-8,-6,-5,-7,8,31,35,8,-5,12,15,2,8,11,2,-1,18,12,-1,11,1,-8,-5,16,10,-7,-1,12,27,30,18,7,0,-6,-8,-8,-8,-7,3,3,-7,-5,-3,-4,-6,-8,-8,-6,-7,-5,11,4,-8,-7,-3,5,-3,-7,-3,10,21,3,-7,-7,-7,-7,-8,-8,6,11,-5,-8,-4,8,0,-6,-7,-7,-1,-1,-7,-7,-7,-6,10,18,1,0,5,22,12,-3,-7,-6,-6,-3,15,13,20,46,36,11,12,9,5,7,13,4,30,63,31,-2,-3,19,44,38,25,42,50,23,29,32,22,26,26,21,33,34,19,31,74,50,38,12,-4,4,15,14,25,48,36,24,50,43,58]"
2022-10-19T19:01:00+02:00,"[60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[18,7,0,-6,-8,-8,-8,-7,3,3,-7,-5,-3,-4,-6,-8,-8,-6,-7,-5,11,4,-8,-7,-3,5,-3,-7,-3,10,21,3,-7,-7,-7,-7,-8,-8,6,11,-5,-8,-4,8,0,-6,-7,-7,-1,-1,-7,-7,-7,-6,10,18,1,0,5,22,12,-3,-7,-6,-6,-3,15,13,20,46,36,11,12,9,5,7,13,4,30,63,31,-2,-3,19,44,38,25,42,50,23,29,32,22,26,26,21,33,34,19,31,74,50,38,12,-4,4,15,14,25,48,36,24,50,43,58,26,45,33,39,37,48,31,29,27,42,42,12]"
2022-10-19T20:56:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[26,45,33,39,37,48,31,29,27,42,42,12]"
2022-10-19T06:18:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[38,22,25,20,-3,-6,1,-2,-2,1,5,24,18,1,-4,0,3,4,8,3,15,18,30,35,21,1,-3,-4,13,12,-3,-1,10,0,-7,-8,-2,1,1,3,27,67,53,23,29,28,-3,-3,4,15,31,29,56,42,14,29,17,-1,7,14,15,38,65,50,26,26,45,60,21,34,31,26,40,48,19]"
2022-10-19T07:33:01+02:00,[19679],[19]
2022-10-11T14:56:00+02:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[32,17,-2,-6,13,8,-7,-8,-8,-8,-8,-8,-8,-6,10,9,-7,-8,-8,-7,-8,-8,-5,3,2,-6,-8,-8,-3,23,24,-3,-5,1,5,-4,-8,-8,-7,-5,-7,-5,0,-4,-4,-6,-8,-8,-8,-8,-8,-8,-7,-7,-3,-5,-8,-8,-8,-8,-8,-7,-7,-7,-7,-8,-7,-5,0,-2,8,17,4,5,6,-2,-6,-7,-8,-7,-7,-8,-8,-6,-2,-5,-5,0,-3,-6,-7,-7,-2,-1,-5,-7,-8,3,10,-2,-8,-8,-8,-8,-7,-4,-5,-8,-7,8,19,9,2,-1,3,-1,-6,-8,-8,-7,6,4,-6,-5,-2,-3,4,1,-3,-2,7,3,-6,8,11,15,17,17,1,7,4,-6,-5,2,2,22,37,33,53,17,-5,0,2,-4,4,1,-5,-6,-8,-8,-6,-4,-7,-8,-5,-6,-7,-2,0,-5,-7,-8,-8,-7,-6,-5,-7,-8,-6,-6]"
