start,duration,value
2026-03-05T05:24:21+01:00,[3],[1]
2026-03-04T22:35:54+01:00,[3],[1]
2026-03-02T23:29:17+01:00,[4],[1]
2026-03-02T22:26:49+01:00,[3],[1]
2026-03-02T07:16:45+01:00,[3],[1]
2026-03-01T22:43:00+01:00,[3],[1]
2026-03-01T09:17:42+01:00,[3],[1]
2026-02-28T08:22:08+01:00,[574],[1]
2026-02-28T08:21:06+01:00,[24],[1]
2026-02-28T08:19:11+01:00,[16],[1]
2026-02-28T08:04:34+01:00,[33],[1]
2026-02-28T07:47:45+01:00,[983],[1]
2026-02-28T07:45:39+01:00,[102],[1]
2026-02-28T07:39:14+01:00,[79],[1]
2026-02-28T07:31:46+01:00,[14],[1]
2026-02-27T04:02:15+01:00,[30],[1]
2026-02-26T04:15:41+01:00,[5],[1]
2026-02-25T09:36:53+01:00,[3],[1]
2026-02-25T08:19:54+01:00,[3],[1]
2026-02-24T11:01:35+01:00,[3],[1]
2026-02-24T10:29:59+01:00,[11],[1]
2026-02-23T23:17:31+01:00,[68],[1]
2026-02-23T09:05:08+01:00,[21],[1]
2026-02-23T03:34:24+01:00,[5],[1]
2026-02-22T22:15:45+01:00,[5],[1]
2026-02-22T04:11:37+01:00,[102],[1]
2026-02-22T03:16:06+01:00,[2105],[1]
2026-02-22T02:51:15+01:00,[1288],[1]
2026-02-21T23:49:30+01:00,[4],[1]
2026-02-21T23:38:17+01:00,[132],[1]
2026-02-21T02:07:25+01:00,[7],[1]
2026-02-21T02:04:29+01:00,[17],[1]
2026-02-21T01:58:16+01:00,[30],[1]
2026-02-21T01:53:20+01:00,[67],[1]
2026-02-21T01:51:20+01:00,[29],[1]
2026-02-21T01:47:31+01:00,[88],[1]
2026-02-21T01:27:15+01:00,[1192],[1]
2026-02-21T01:24:22+01:00,[124],[1]
2026-02-21T01:20:52+01:00,[42],[1]
2026-02-21T01:09:46+01:00,[15],[1]
2026-02-20T04:17:12+01:00,[18],[1]
2026-02-20T03:58:27+01:00,[14],[1]
2026-02-19T22:42:51+01:00,[3],[1]
2026-02-19T09:10:26+01:00,[304],[1]
2026-02-18T22:10:39+01:00,[3],[1]
2026-02-18T08:23:29+01:00,[20],[1]
2026-02-17T03:52:23+01:00,[27],[1]
2026-02-16T10:05:23+01:00,[231],[1]
2026-02-16T04:41:23+01:00,[5],[1]
2026-02-14T08:59:04+01:00,[203],[1]
2026-02-14T08:56:29+01:00,[10],[1]
2026-02-14T08:49:13+01:00,[162],[1]
2026-02-13T09:35:42+01:00,[905],[1]
2026-02-11T21:55:43+01:00,[304],[1]
2026-02-11T09:07:39+01:00,[66],[1]
2026-02-10T23:17:42+01:00,[11],[1]
2026-02-09T09:12:38+01:00,[170],[1]
2026-02-09T04:36:04+01:00,[5],[1]
2026-02-08T05:30:53+01:00,[306],[1]
2026-02-06T22:26:51+01:00,[5],[1]
2026-02-06T03:43:23+01:00,[303],[1]
2026-02-05T22:10:45+01:00,[3],[1]
2026-02-05T10:32:24+01:00,[3],[1]
2026-02-05T04:19:42+01:00,[5],[1]
2026-02-05T04:17:35+01:00,[124],[1]
2026-02-04T09:25:54+01:00,[305],[1]
2026-02-04T07:49:48+01:00,[4],[1]
2026-02-04T07:49:28+01:00,[16],[1]
2026-02-03T23:59:56+01:00,[304],[1]
2026-02-03T23:44:15+01:00,[10],[1]
2026-02-03T22:39:10+01:00,[124],[1]
2026-02-03T22:24:15+01:00,[25],[1]
2026-02-03T22:23:27+01:00,[4],[1]
2026-02-03T22:21:11+01:00,[3],[1]
2026-02-03T09:27:59+01:00,[155],[1]
2026-02-02T23:22:40+01:00,[5],[1]
2026-02-02T09:22:09+01:00,[305],[1]
2026-02-02T08:11:18+01:00,[3],[1]
2026-02-02T08:08:16+01:00,[179],[1]
2026-02-02T07:41:18+01:00,[15],[1]
2026-02-02T04:28:59+01:00,[17],[1]
2026-01-31T01:21:43+01:00,[11],[1]
2026-01-31T01:12:41+01:00,[346],[1]
2026-01-31T01:09:51+01:00,[12],[1]
2026-01-31T00:52:09+01:00,[114],[1]
2026-01-31T00:34:34+01:00,[1018],[1]
