from,to,"light (s)","deep (s)","rem (s)","awake (s)","wake up","Duration to sleep (s)","Duration to wake up (s)","Snoring (s)","Snoring episodes","Average heart rate","Heart rate (min)","Heart rate (max)","Night events",Notes
2020-01-05T22:29:00+10:00,2020-01-06T04:43:00+10:00,9480,5520,0,540,1,0,120,0,0,57,48,75,,
2020-01-06T22:41:00+10:00,2020-01-07T04:58:00+10:00,10859,10621,0,1140,2,120,0,0,0,62,52,102,,
2020-01-07T23:33:00+10:00,2020-01-08T04:46:00+10:00,10920,7440,0,420,0,300,120,0,0,56,50,67,,
2020-01-08T21:42:00+10:00,2020-01-09T04:29:00+10:00,10920,13020,0,480,0,300,180,0,0,60,45,81,,
2020-01-09T21:08:00+10:00,2020-01-10T06:20:00+10:00,21600,9780,0,1740,2,120,0,0,0,61,46,90,,
2020-01-10T21:13:00+10:00,2020-01-11T05:40:00+10:00,16499,12781,0,1140,1,120,0,0,0,60,47,102,,
2020-01-12T00:53:00+10:00,2020-01-12T06:10:00+10:00,11580,5820,0,1620,0,0,1500,0,0,61,46,109,,
2020-01-12T22:10:00+10:00,2020-01-13T04:41:00+10:00,12480,10500,0,480,1,120,120,0,0,60,48,91,,
2020-01-13T21:19:00+10:00,2020-01-14T07:09:00+10:00,22920,10980,0,1500,1,120,420,0,0,61,48,93,,
2020-01-14T21:30:00+10:00,2020-01-15T04:59:00+10:00,17459,7980,0,1501,2,120,540,0,0,57,40,101,,
2020-01-15T22:03:00+10:00,2020-01-16T04:39:00+10:00,12840,10800,0,120,0,120,0,0,0,56,44,68,,
2020-01-16T21:55:00+10:00,2020-01-17T09:03:00+10:00,18060,10920,0,11100,9,120,720,0,0,62,46,96,,
2020-01-17T22:07:00+10:00,2020-01-18T04:32:00+10:00,13320,9360,0,420,0,300,120,0,0,62,50,95,,
2020-01-18T22:24:00+10:00,2020-01-19T08:44:00+10:00,20879,10500,0,5821,8,120,60,0,0,65,43,92,,
2020-01-19T21:43:00+10:00,2020-01-20T05:06:00+10:00,15000,10260,0,1320,2,120,0,0,0,67,51,106,,
2020-01-20T22:22:00+10:00,2020-01-21T05:03:00+10:00,14160,8760,0,1140,1,120,60,0,0,59,52,103,,
2020-01-21T22:02:00+10:00,2020-01-22T05:09:00+10:00,15780,8040,0,1800,4,120,60,0,0,58,45,99,,
2020-01-22T22:14:00+10:00,2020-01-23T04:34:00+10:00,14460,7320,0,1020,1,120,480,0,0,60,46,97,,
2020-01-23T21:48:00+10:00,2020-01-24T06:06:00+10:00,22800,6060,0,1020,2,120,0,0,0,58,43,96,,
2020-01-24T23:57:00+10:00,2020-01-25T07:38:00+10:00,20940,5820,0,900,2,120,0,0,0,81,52,107,,
2020-01-25T23:19:00+10:00,2020-01-26T08:03:00+10:00,18120,12780,0,540,1,120,240,0,0,62,54,89,,
2020-01-26T22:57:00+10:00,2020-01-27T05:50:00+10:00,14040,8940,0,1800,4,120,0,0,0,63,51,96,,
2020-01-27T23:10:00+10:00,2020-01-28T08:35:00+10:00,20220,10560,0,3120,2,120,1500,0,0,64,54,95,,
2020-01-28T22:15:00+10:00,2020-01-29T05:33:00+10:00,17700,5880,0,2700,4,120,120,0,0,57,48,101,,
2020-01-29T21:53:00+10:00,2020-01-30T05:12:00+10:00,17940,7260,0,1140,1,120,180,0,0,63,45,102,,
2020-01-30T19:59:00+10:00,2020-01-31T04:59:00+10:00,17761,12839,0,1800,2,120,0,0,0,61,42,111,,
2020-01-31T22:03:00+10:00,2020-02-01T08:21:00+10:00,21300,13620,0,2160,2,120,540,0,0,64,52,100,,
2020-02-01T23:23:00+10:00,2020-02-02T07:40:00+10:00,12360,13020,0,4440,4,180,60,0,0,60,48,134,,
2020-02-02T22:00:00+10:00,2020-02-03T06:19:00+10:00,17280,8880,0,3780,4,240,0,0,0,61,49,94,,
2020-02-03T21:02:00+10:00,2020-02-04T07:23:00+10:00,21781,12419,0,3060,5,120,60,0,0,58,43,105,,
2020-02-04T22:03:00+10:00,2020-02-05T08:36:00+10:00,18600,15180,0,4200,3,120,2040,0,0,56,43,121,,
2020-02-05T22:16:00+10:00,2020-02-06T10:53:00+10:00,27660,14220,0,3540,5,120,0,0,0,59,42,101,,
2020-02-06T21:57:00+10:00,2020-02-07T08:53:00+10:00,26400,11220,0,780,3,120,300,0,0,54,44,73,,
2020-02-07T23:09:00+10:00,2020-02-08T06:04:00+10:00,18660,5940,0,300,1,120,0,0,0,56,45,93,,
2020-02-09T00:03:00+10:00,2020-02-09T04:40:00+10:00,11700,2880,0,2040,1,120,0,0,0,64,49,98,,
2020-02-09T20:47:00+10:00,2020-02-10T03:16:00+10:00,11100,10620,0,1620,2,120,60,0,0,67,56,99,,
2020-02-10T22:39:00+10:00,2020-02-11T06:58:00+10:00,20160,9660,0,120,0,120,0,0,0,57,45,89,,
2020-02-11T22:27:00+10:00,2020-02-12T05:19:00+10:00,12180,11640,0,900,2,120,0,0,0,60,49,94,,
2020-02-12T22:31:00+10:00,2020-02-13T05:42:00+10:00,12780,12900,0,180,0,120,60,0,0,62,46,84,,
2020-02-13T22:15:00+10:00,2020-02-14T05:20:00+10:00,10740,14460,0,300,1,120,0,0,0,62,49,88,,
2020-02-14T22:15:00+10:00,2020-02-15T07:06:00+10:00,20220,11460,0,180,0,120,60,0,0,65,42,97,,
2020-02-15T21:59:00+10:00,2020-02-16T08:02:00+10:00,23460,10500,0,2220,3,120,0,0,0,62,36,84,,
2020-02-16T23:16:00+10:00,2020-02-17T06:56:00+10:00,13020,12060,0,2520,2,120,0,0,0,60,45,78,,
2020-02-17T21:09:00+10:00,2020-02-18T05:29:00+10:00,16500,12540,0,960,1,120,0,0,0,55,42,83,,
2020-02-18T21:51:00+10:00,2020-02-19T05:35:00+10:00,13500,13560,0,780,1,120,0,0,0,57,46,103,,
2020-02-19T22:56:00+10:00,2020-02-20T05:34:00+10:00,12660,10020,0,1200,2,180,120,0,0,61,47,99,,
2020-02-20T21:58:00+10:00,2020-02-21T05:31:00+10:00,13740,13080,0,360,0,120,240,0,0,0,0,0,,
2020-02-21T23:19:00+10:00,2020-02-22T06:02:00+10:00,18120,5160,0,900,1,120,120,0,0,0,0,0,,
2020-02-22T23:58:00+10:00,2020-02-23T08:33:00+10:00,18180,12600,0,120,0,120,0,0,0,0,0,0,,
2020-02-23T22:47:00+10:00,2020-02-24T06:46:00+10:00,16740,10980,0,1020,1,120,0,0,0,0,0,0,,
2020-02-24T20:31:00+10:00,2020-02-25T06:38:00+10:00,19860,15060,0,1500,2,180,0,0,0,0,0,0,,
2020-02-25T22:46:00+10:00,2020-02-26T05:09:00+10:00,8040,13800,0,1140,2,120,0,0,0,0,0,0,,
2020-02-26T22:00:00+10:00,2020-02-27T05:18:00+10:00,15120,10980,0,180,0,120,60,0,0,0,0,0,,
2020-02-27T21:38:00+10:00,2020-02-28T05:10:00+10:00,11580,14640,0,900,2,120,60,0,0,58,43,72,,
2020-02-28T22:46:00+10:00,2020-02-29T06:20:00+10:00,15661,9119,0,2460,2,120,0,0,0,66,46,119,,
2020-02-29T20:01:00+10:00,2020-03-01T05:52:00+10:00,21960,11040,0,2460,3,120,0,0,0,60,47,97,,
2020-03-01T22:27:00+10:00,2020-03-02T06:33:00+10:00,17940,9360,0,1860,1,120,900,0,0,58,42,76,,
2020-03-02T21:12:00+10:00,2020-03-03T05:23:00+10:00,17280,11460,0,720,0,300,420,0,0,55,43,84,,
2020-03-03T21:42:00+10:00,2020-03-04T05:14:00+10:00,17580,8700,0,840,1,120,180,0,0,62,45,91,,
2020-03-04T20:09:00+10:00,2020-03-05T05:55:00+10:00,16860,17580,0,720,1,120,0,0,0,57,41,167,,
2020-03-05T23:01:00+10:00,2020-03-06T05:22:00+10:00,9840,12480,0,540,1,120,0,0,0,58,46,84,,
2020-03-06T20:59:00+10:00,2020-03-07T06:58:00+10:00,20400,13320,0,2220,3,120,0,0,0,59,40,94,,
2020-03-07T23:36:00+10:00,2020-03-08T08:06:00+10:00,23100,6360,0,1140,2,120,0,0,0,59,48,99,,
2020-03-08T23:40:00+10:00,2020-03-09T06:15:00+10:00,17040,5880,0,780,1,300,0,0,0,56,45,95,,
2020-03-09T21:45:00+10:00,2020-03-10T05:23:00+10:00,13380,13680,0,420,0,180,240,0,0,56,46,80,,
2020-03-10T22:10:00+10:00,2020-03-11T08:00:00+10:00,21420,10680,0,3300,4,120,1020,0,0,56,42,97,,
2020-03-11T21:55:00+10:00,2020-03-12T04:45:00+10:00,13080,10200,0,1320,3,180,120,0,0,55,47,78,,
2020-03-12T21:29:00+10:00,2020-03-13T05:18:00+10:00,18360,9660,0,120,0,120,0,0,0,53,43,64,,
2020-03-13T23:35:00+10:00,2020-03-14T06:38:00+10:00,12360,8820,0,4200,5,120,1560,0,0,0,0,0,,
2020-03-14T21:49:00+10:00,2020-03-15T06:40:00+10:00,14760,15600,0,1500,2,120,60,0,0,55,42,84,,
2020-03-15T22:08:00+10:00,2020-03-16T06:52:00+10:00,17160,11940,0,2340,4,120,60,0,0,58,40,95,,
2020-03-16T19:43:00+10:00,2020-03-17T05:11:00+10:00,11640,20700,0,1740,1,120,0,0,0,59,43,92,,
2020-03-17T22:39:00+10:00,2020-03-18T05:28:00+10:00,16500,7740,0,300,0,120,180,0,0,62,46,121,,
2020-03-18T22:30:00+10:00,2020-03-19T05:24:00+10:00,11760,12960,0,120,0,120,0,0,0,57,44,76,,
2020-03-19T23:11:00+10:00,2020-03-20T07:22:00+10:00,15120,11580,0,2760,4,120,180,0,0,55,43,102,,
2020-03-20T22:31:00+10:00,2020-03-21T06:55:00+10:00,17100,11220,0,1920,3,120,0,0,0,53,40,89,,
2020-03-21T21:28:00+10:00,2020-03-22T08:02:00+10:00,25020,11220,0,1800,2,120,60,0,0,59,44,96,,
2020-03-22T22:03:00+10:00,2020-03-23T07:44:00+10:00,21840,12660,0,360,1,120,60,0,0,61,41,92,,
2020-03-24T23:15:00+10:00,2020-03-25T07:01:00+10:00,13140,10560,0,4260,5,240,1200,0,0,62,49,131,,
2020-03-25T23:10:00+10:00,2020-03-26T08:05:00+10:00,17940,11940,0,2220,3,120,480,0,0,61,47,89,,
