date,property,value
1628318164,chatbot_opened_conversations__data_insights_activity_comparison_with_peers,1
1607318053,chatbot_opened_conversations__data_insights_articles,1
1615405604,chatbot_opened_conversations__data_insights_articles,1
1615405604,chatbot_opened_conversations__data_insights_articles_art_of_weighing,1
1607318053,chatbot_opened_conversations__data_insights_articles_muscle_weigh_more_than_fat,1
1673098409,chatbot_opened_conversations__data_insights_day6,1
1600373868,chatbot_opened_conversations__data_insights_emotional_checkin,1
1602235851,chatbot_opened_conversations__data_insights_emotional_checkin,1
1608715040,chatbot_opened_conversations__data_insights_emotional_checkin,1
1621227863,chatbot_opened_conversations__data_insights_emotional_checkin,1
1646170644,chatbot_opened_conversations__data_insights_increased_weekly_steps_1kday,1
1678085188,chatbot_opened_conversations__data_insights_multimetrics,1
1678085188,chatbot_opened_conversations__data_insights_multimetrics_active_good_sleepscore,1
1600373869,chatbot_opened_conversations__data_insights_psychology,1
1602235851,chatbot_opened_conversations__data_insights_psychology,1
1608715040,chatbot_opened_conversations__data_insights_psychology,1
1621227863,chatbot_opened_conversations__data_insights_psychology,1
1606298434,chatbot_opened_conversations__data_insights_sleep,1
1616356865,chatbot_opened_conversations__data_insights_sleep,1
1634038131,chatbot_opened_conversations__data_insights_sleep,1
1655427011,chatbot_opened_conversations__data_insights_sleep,1
1675635255,chatbot_opened_conversations__data_insights_sleep,1
1655427012,chatbot_opened_conversations__data_insights_sleepduration_unusually_low,1
1606298434,chatbot_opened_conversations__data_insights_sleepscore_under_70,1
1634038131,chatbot_opened_conversations__data_insights_sleepscore_under_70,1
1616356865,chatbot_opened_conversations__data_insights_social_jetlag_detected,1
1675635255,chatbot_opened_conversations__data_insights_social_jetlag_detected,1
1670643388,chatbot_opened_conversations__data_insights_steps_goal_reached_multiple_times_lastweek,1
1628318165,chatbot_opened_conversations__data_insights_steps_insight,1
1670643388,chatbot_opened_conversations__data_insights_steps_insight,1
1628318169,chatbot_read_conversations__data_insights_activity_comparison_with_peers,1
1600373933,chatbot_read_conversations__data_insights_emotional_checkin,1
1602235898,chatbot_read_conversations__data_insights_emotional_checkin,1
1608715111,chatbot_read_conversations__data_insights_emotional_checkin,1
1621227915,chatbot_read_conversations__data_insights_emotional_checkin,1
1600373933,chatbot_read_conversations__data_insights_psychology,1
1602235898,chatbot_read_conversations__data_insights_psychology,1
1608715110,chatbot_read_conversations__data_insights_psychology,1
1621227916,chatbot_read_conversations__data_insights_psychology,1
1606298460,chatbot_read_conversations__data_insights_sleep,1
1634038160,chatbot_read_conversations__data_insights_sleep,1
1655427032,chatbot_read_conversations__data_insights_sleep,1
1655427032,chatbot_read_conversations__data_insights_sleepduration_unusually_low,1
1606298459,chatbot_read_conversations__data_insights_sleepscore_under_70,1
1634038160,chatbot_read_conversations__data_insights_sleepscore_under_70,1
1628318168,chatbot_read_conversations__data_insights_steps_insight,1
1655427024,chatbot__sleep_shorter_than_usual_night_reason,other
1600373898,emotion__mood,depressed
1602235871,emotion__mood,depressed
1608715063,emotion__mood,happy
1621227885,emotion__mood,happy
1600373909,emotion__motivated,false
1602235883,emotion__motivated,false
1608715076,emotion__motivated,true
1621227903,emotion__motivated,true
1600373889,emotion__overall_feeling,unwell
1602235862,emotion__overall_feeling,unwell
1608715059,emotion__overall_feeling,well
1621227880,emotion__overall_feeling,well
1600373905,emotion__productive,false
1602235880,emotion__productive,true
1608715071,emotion__productive,true
1621227898,emotion__productive,false
1600373901,emotion__relaxed,false
1602235875,emotion__relaxed,false
1608715067,emotion__relaxed,true
1621227889,emotion__relaxed,false
1750762030,member_research_program,1
1756727255,member_research_program,1
1750762094,no_chronic_disease,reported_chronic_disease
1756727317,no_chronic_disease,reported_chronic_disease
1750762094,no_heart_disease,reported_heart_disease
1756727317,no_heart_disease,reported_heart_disease
1750762094,reported_alcohol_drinking_habits,yearly
1756727317,reported_alcohol_drinking_habits,monthly
1750762094,reported_number_medications,0
1756727317,reported_number_medications,0
1750762094,reported_smoking_habits,never_smoked
1756727317,reported_smoking_habits,few_yearly
1750762094,reported_wellness,100
1756727317,reported_wellness,89
